"id","url","feed_ids","veiculos","paises","status","erro_original","horario","proxima_tentativa","tentativas","classificacao","acao_recomendada"
"2","https://9to5google.com/2026/09/12/the-google-pixel-is-fine-and-all-but-still-needs-a-ryzen-moment-video/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:01.994044+00","2026-09-14 10:44:01.994044+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"3","https://9to5google.com/2026/09/12/dbrand-mnml-pixel-11-pro-hands-on/","1","9to5Google","Estados Unidos","unavailable","http_403","2026-09-14 09:44:02.145362+00","2026-09-14 10:44:02.145362+00","1","bloqueio_http","Verificar acesso permitido, resposta e endpoint oficial; não contornar bloqueios. Validar alternativa antes de recomendar troca."
"5","https://9to5google.com/2026/09/11/google-health-5-08-release-notes/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:03.100534+00","2026-09-14 10:44:03.100534+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"6","https://9to5google.com/2026/09/11/usb-c-cable-ltt-truespec/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:03.251353+00","2026-09-14 10:44:03.251353+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"7","https://9to5google.com/2026/09/11/motorolas-wide-razr-fold-wants-3d-glass-and-creaseless-display/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:03.401898+00","2026-09-14 10:44:03.401898+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"8","https://9to5google.com/2026/09/11/find-hub-remembered/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:03.702081+00","2026-09-14 10:44:03.702081+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"9","https://9to5google.com/2026/09/11/deals-galaxy-z-fold-8-metal-smart-display-power-bank/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.007968+00","2026-09-14 10:44:04.007968+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"10","https://9to5google.com/2026/09/11/lenovo-googlebook-15-specs-leak/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.158422+00","2026-09-14 10:44:04.158422+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"11","https://9to5google.com/2026/09/11/instagram-chronological-feed-much-worse/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.308746+00","2026-09-14 10:44:04.308746+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"12","https://9to5google.com/2026/09/11/apple-on-wide-android-foldables-beating-iphone-duo-they-got-the-aspect-ratio/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.460251+00","2026-09-14 10:44:04.460251+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"13","https://9to5google.com/2026/09/11/walmat-onn-4k-pro-restock-september/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.611278+00","2026-09-14 10:44:04.611278+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
"14","https://9to5google.com/2026/09/11/samsung-galaxy-smarttag-3-copies-the-worst-part-of-apples-airtag-in-leak/","1","9to5Google","Estados Unidos","unavailable","robots_disallowed","2026-09-14 09:44:04.761695+00","2026-09-14 10:44:04.761695+00","1","restricao_robots","Respeitar robots.txt; procurar texto licenciado ou fornecido legitimamente pelo feed."
